timestamp,user_id,movie_id
1664149445.0,429303,the+russia+house+1990
1664149445.0,457740,holy+motors+2012
1664149445.0,147635,oranges+and+sunshine+2010
1664149445.0,468546,the+terminal+2004
1664149445.0,329496,the+bridge+on+the+river+kwai+1957
1664149445.0,369815,the+sticky+fingers+of+time+1997
1664149445.0,295001,tuyas+marriage+2006
1664149445.0,371516,indiana+jones+and+the+last+crusade+1989
1664149445.0,123726,star+wars+1977
1664149445.0,110552,appropriate+adult+2011
1664149445.0,338407,vasermil+2007
1664149445.0,202439,finding+nemo+2003
1664149445.0,415611,unfaithfully+yours+1948
1664149445.0,230239,airplane+1980
1664149445.0,21518,starship+troopers+1997
1664149445.0,124340,le+plican+1974
1664149445.0,272522,the+princess+and+the+warrior+2000
1664149445.0,191694,monty+python+and+the+holy+grail+1975
1664149445.0,32641,interstellar+2014
1664149445.0,54737,deficit+2007
1664149445.0,449032,wah-wah+2005
1664149445.0,413694,the+brute+1953
1664149445.0,459014,aladdin+1992
1664149445.0,452601,wedlock+1991
1664149445.0,26018,dawn+of+the+planet+of+the+apes+2014
1664149445.0,11202,seventh+son+2014
1664149445.0,293956,ratatouille+2007
1664149445.0,103171,joe+strummer+the+future+is+unwritten+2007
1664149445.0,176083,daffy+ducks+movie+fantastic+island+1983
1664149445.0,179560,goodfellas+1990
1664149445.0,156499,beauty+and+the+beast+the+enchanted+christmas+1997
1664149445.0,142714,the+dark+knight+rises+2012
1664149445.0,351514,dog+soldiers+2002
1664149445.0,56397,lost+in+siberia+2012
1664149445.0,155087,spider-man+2002
1664149445.0,40135,with+fire+and+sword+1999
1664149445.0,247250,the+dark+knight+rises+2012
1664149445.0,416464,toy+story+3+2010
1664149445.0,311992,k-pax+2001
1664149445.0,309076,the+lord+of+the+rings+the+two+towers+2002
1664149445.0,383901,egg+2007
1664149445.0,440588,then+i+sentenced+them+all+to+death+1972
1664149445.0,418774,ratatouille+2007
1664149445.0,318632,blue+collar+1978
1664149445.0,257212,the+godfather+part+iii+1990
1664149445.0,244256,and+you+thought+your+parents+were+weird+1991
1664149445.0,137120,the+king+of+comedy+1982
1664149445.0,311372,rab+ne+bana+di+jodi+2008
