user_id,rating,movie_id
217963,5,white+night+2007
408406,4,the+cat+returns+2002
59440,3,adulthood+2008
286542,3,king+of+kings+1961
344210,3,mission+impossible+1996
384298,3,master+and+commander+the+far+side+of+the+world+2003
259105,4,the+phone+box+1972
414683,4,charley+varrick+1973
245723,2,k-19+the+widowmaker+2002
132507,5,2001+a+space+odyssey+1968
68304,4,the+gods+must+be+crazy+1980
993,4,a+monkey+in+winter+1962
237364,2,willy+wonka++the+chocolate+factory+1971
431778,4,joshua+2002
75674,4,ponyo+2008
192871,4,sleeping+beauty+1959
373861,3,agatha+1979
429095,2,juan+of+the+dead+2011
120025,5,the+lord+of+the+rings+the+two+towers+2002
384665,3,the+raid+2+2014
335783,4,get+bruce+1999
226112,4,a+bugs+life+1998
114655,5,touching+the+void+2003
333113,3,the+wind+1928
128898,4,over+her+dead+body+2008
456956,4,it+follows+2015
144489,4,master+of+the+universe+2013
81557,5,battlestar+galactica+razor+2007
271260,4,the+terrorist+1998
69130,4,back+to+the+future+1985
95810,4,harry+potter+and+the+goblet+of+fire+2005
123381,4,hairspray+2007
132117,3,micki++maude+1984
417427,3,cookies+fortune+1999
181865,5,bambi+1942
212887,4,the+sheltering+sky+1990
306475,4,atlas+shrugged+part+iii+who+is+john+galt+2014
241329,4,planet+of+dinosaurs+1977
389010,4,animal+love+1996
292946,4,catching+hell+2011
418708,4,frozen+2013
270494,2,dazed+and+confused+1993
415945,2,charlie+st.+cloud+2010
156958,5,david+cross+bigger+and+blackerer+2010
197778,4,presumed+innocent+1990
34352,3,atl+2006
415446,4,harry+potter+and+the+deathly+hallows+part+2+2011
98059,3,the+perfume+of+the+lady+in+black+1974
455757,3,x-men+the+last+stand+2006
273242,3,2001+a+space+odyssey+1968
117352,4,der+letzte+schne+herbsttag+2010
283586,4,pittsburgh+1942
3278,4,the+wackness+2008
192365,3,the+little+mermaid+1989
425901,3,ghostbusters+1984
387464,2,full+speed+1996
375010,4,holes+in+my+shoes+
